,Area,Area,Area,Area
,count,sum,mean,std
0.0,277.0,0.01122034,4.050664259927798e-05,8.262770602417481e-05
1.0,321.0,0.010043700000000001,3.1288785046728975e-05,3.4022585330656097e-05
2.0,367.0,0.04021451,0.00010957632152588557,0.0012134407016377345
3.0,185.0,0.00620873,3.3560702702702705e-05,4.288453824747536e-05
4.0,289.0,0.02081464,7.20229757785467e-05,0.0005877953133167078
5.0,239.0,0.0102728,4.298242677824268e-05,9.105908197457507e-05
6.0,248.0,0.008440650000000001,3.403487903225807e-05,3.2097663794082256e-05
7.0,236.0,0.033426040000000004,0.00014163576271186443,0.0015652718995901793
8.0,217.0,0.023466900000000002,0.00010814239631336407,0.000957643966343853
9.0,190.0,0.00604649,3.182363157894737e-05,2.6179146492589846e-05
10.0,249.0,0.01379156,5.538779116465863e-05,0.0003792067592212104
11.0,256.0,0.0080552,3.1465625e-05,2.1538821048443273e-05
12.0,307.0,0.04101178,0.0001335888599348534,0.0014921207915293102
13.0,270.0,0.031110550000000004,0.00011522425925925928,0.0012776218916705536
14.0,389.0,0.015159569999999999,3.8970616966580975e-05,0.00020248057923833237
15.0,348.0,0.0104292,2.996896551724138e-05,2.6789601924273815e-05
Mean,274.25,0.01810704125,6.563629011940076e-05,0.0005020488154615095
